//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 3-30-2023
//--  Time: 17:47
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:0, 5     AFR:7.7, 20
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
895	18.45	185 	4.370
896	18.46	185 	4.375
897	18.47	185 	4.380
898	18.49	185 	4.385
899	18.50	185 	4.390
900	18.51	185 	4.395
901	18.52	185 	4.399
902	18.53	185 	4.404
903	18.55	185 	4.409
904	18.56	186 	4.414
905	18.57	186 	4.419
906	18.58	186 	4.424
907	18.59	186 	4.429
908	18.61	186 	4.434
909	18.62	186 	4.438
910	18.63	186 	4.443
911	18.64	186 	4.448
912	18.65	187 	4.453
913	18.67	187 	4.458
914	18.68	187 	4.463
915	18.69	187 	4.468
916	18.70	187 	4.473
917	18.71	187 	4.478
918	18.73	187 	4.482
919	18.74	187 	4.487
920	18.75	188 	4.492
921	18.76	188 	4.497
922	18.77	188 	4.502
923	18.79	188 	4.507
924	18.80	188 	4.512
925	18.81	188 	4.517
926	18.82	188 	4.521
927	18.83	188 	4.526
928	18.85	188 	4.531
929	18.86	189 	4.536
930	18.87	189 	4.541
931	18.88	189 	4.546
932	18.89	189 	4.551
933	18.91	189 	4.556
934	18.92	189 	4.561
935	18.93	189 	4.565
936	18.94	189 	4.570
937	18.95	190 	4.575
938	18.97	190 	4.580
939	18.98	190 	4.585
940	18.99	190 	4.590
941	19.00	190 	4.595
942	19.02	190 	4.600
943	19.03	190 	4.604
944	19.04	190 	4.609
945	19.05	191 	4.614
946	19.06	191 	4.619
947	19.08	191 	4.624
948	19.09	191 	4.629
949	19.10	191 	4.634
950	19.11	191 	4.639
951	19.12	191 	4.644
952	19.14	191 	4.648
953	19.15	191 	4.653
954	19.16	192 	4.658
955	19.17	192 	4.663
956	19.18	192 	4.668
957	19.20	192 	4.673
958	19.21	192 	4.678
959	19.22	192 	4.683
960	19.23	192 	4.688
961	19.24	192 	4.692
962	19.26	193 	4.697
963	19.27	193 	4.702
964	19.28	193 	4.707
965	19.29	193 	4.712
966	19.30	193 	4.717
967	19.32	193 	4.722
968	19.33	193 	4.727
969	19.34	193 	4.731
970	19.35	194 	4.736
971	19.36	194 	4.741
972	19.38	194 	4.746
973	19.39	194 	4.751
974	19.40	194 	4.756
975	19.41	194 	4.761
976	19.42	194 	4.766
977	19.44	194 	4.771
978	19.45	194 	4.775
979	19.46	195 	4.780
980	19.47	195 	4.785
981	19.48	195 	4.790
982	19.50	195 	4.795
983	19.51	195 	4.800
984	19.52	195 	4.805
985	19.53	195 	4.810
986	19.54	195 	4.814
987	19.56	196 	4.819
988	19.57	196 	4.824
